,name,crn,address1,address2,postTown,county,country,postcode,category,status,origin,accounts_lastMadeUpDate,accountCategory,returns_lastMadeUpDate,sic1,sic2,sic3,sic4,POSTCODE,POSTCODE2,POSTCODE_PCDS,LAT,LONG,LEP1,LEP2,COUNTY_CODE,COUNTY_DIST_CODE,WARD_CODE,website
133,MAXTONE LTD,07796109,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,UNITED KINGDOM,YO11 1TS,Private Limited Company,Active,United Kingdom,31/08/2016,TOTAL EXEMPTION SMALL,04/10/2015,93130 - Fitness facilities,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
134,ML NORTON MANAGEMENT COMPANY LIMITED,09017844,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,UNITED KINGDOM,YO11 1TS,Private Limited Company,Active,United Kingdom,30/04/2017,,29/04/2016,99999 - Dormant Company,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
135,MOORSIDE GRANGE MANAGEMENT COMPANY LIMITED,04232810,62-63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,30/06/2017,,31/07/2015,98000 - Residents property management,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
136,MOUNTBOON INVESTMENTS LIMITED,01757769,62 WESTBOROUGH,SCARBOROUGH,YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,30/09/2016,TOTAL EXEMPTION SMALL,23/07/2015,68100 - Buying and selling of own real estate,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
137,MSW SURFACING CONTRACTORS LIMITED,10626862,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,UNITED KINGDOM,YO11 1TS,Private Limited Company,Active,United Kingdom,,NO ACCOUNTS FILED,,43290 - Other construction installation,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
138,N & R THORPE LIMITED,08849460,62/63 WESTBOROUGH,,SCARBOROUGH,N YORKS,,YO11 1TS,Private Limited Company,Active,United Kingdom,28/02/2017,TOTAL EXEMPTION FULL,17/01/2016,"47110 - Retail sale in non-specialised stores with food, beverages or tobacco predominating",,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
139,NBR ENGINEERING SERVICES LIMITED,08456007,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,28/02/2017,,21/03/2016,30200 - Manufacture of railway locomotives and rolling stock,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
140,NORTH BAY FISHERIES LIMITED,06467441,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/12/2016,,08/01/2016,56103 - Take-away food shops and mobile food stands,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,http://www.seamerfisheries.co.uk/north-bay-fisheries/
141,NORTH BAY RAILWAY COMPANY LIMITED,05542568,62-63 WESTBOROUGH,,SCARBOROUGH,N YORKS,,YO11 1TS,Private Limited Company,Active,United Kingdom,28/02/2017,,22/08/2015,49390 - Other passenger land transport,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,http://www.nbr.org.uk/
142,NORTH YORKSHIRE AUDITS LIMITED,03842414,62-63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/05/2016,DORMANT,29/08/2015,99999 - Dormant Company,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
143,NORTHERN PROPERTIES (SCARBOROUGH) LIMITED,04299492,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/03/2017,TOTAL EXEMPTION FULL,05/10/2015,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,http://www.towerestates.co.uk/
144,NORTHSTEAD MANOR GARDENS LEISURE LIMITED,05900309,62-63 WESTBOROUGH,,SCARBOROUGH,N YORKS,,YO11 1TS,Private Limited Company,Active,United Kingdom,28/02/2017,,09/08/2015,93210 - Activities of amusement parks and theme parks,93290 - Other amusement and recreation activities n.e.c.,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
145,NORTHSTEAD MANOR LIMITED,06125326,62-63 WESTBOROUGH,,SCARBOROUGH,N YORKS,,YO11 1TS,Private Limited Company,Active,United Kingdom,28/02/2017,,23/02/2016,56101 - Licensed restaurants,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
146,OVERDALE FARMS LIMITED,05627919,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,30/11/2016,TOTAL EXEMPTION SMALL,23/01/2016,01410 - Raising of dairy cattle,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
147,P.M.H. PROMOTIONS LIMITED,01142673,62/63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/12/2016,TOTAL EXEMPTION FULL,31/12/2015,93199 - Other sports activities,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
148,P.M.H. SERVICES LIMITED,02413370,WINN AND CO,62-63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/12/2016,TOTAL EXEMPTION FULL,14/08/2015,96090 - Other service activities n.e.c.,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
149,P.M.H. SPORT TRAVEL LIMITED,01678097,WINN AND CO,62-63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/10/2016,TOTAL EXEMPTION SMALL,08/08/2015,93290 - Other amusement and recreation activities n.e.c.,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
150,PAD 25 PICKERING LIMITED,05864603,62 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/01/2017,,03/07/2015,98000 - Residents property management,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
151,PARK COURT (BURLEY) MANAGEMENT COMPANY LIMITED,04600964,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,30/11/2017,TOTAL EXEMPTION FULL,26/11/2015,98000 - Residents property management,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
152,PARK IT HERE PRODUCTS LIMITED,06012549,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,30/11/2016,TOTAL EXEMPTION SMALL,28/11/2015,28990 - Manufacture of other special-purpose machinery n.e.c.,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,http://parkithereproducts.com/
153,PATTERSON ACTUARIAL LIMITED,05860167,62/63 WESTBOROUGH,SCARBOROUGH,,,,YO11 1TS,Private Limited Company,Active,United Kingdom,30/06/2017,TOTAL EXEMPTION FULL,26/06/2016,82990 - Other business support service activities n.e.c.,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
154,PAUL CANDLER ELECTRICAL SERVICES LTD,08992625,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/03/2017,,11/04/2016,43210 - Electrical installation,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
155,PETER KELLY (G.B.) LIMITED,03206343,62-63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/12/2016,TOTAL EXEMPTION FULL,27/05/2016,68100 - Buying and selling of own real estate,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
156,PHILLIPS FRENCH POLISHING LIMITED,04455823,62-63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/07/2016,TOTAL EXEMPTION SMALL,06/06/2016,43999 - Other specialised construction activities n.e.c.,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
157,PICKERING ESTATES LIMITED,00524249,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,30/09/2016,TOTAL EXEMPTION SMALL,30/11/2015,68209 - Other letting and operating of own or leased real estate,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
158,PIMMEND LTD,11117425,62 WESTBOROUGH,,SCARBOROUGH,,ENGLAND,YO11 1TS,Private Limited Company,Active,United Kingdom,,NO ACCOUNTS FILED,,70229 - Management consultancy activities other than financial management,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
159,PINEWOODS FLATS (ALWOODLEY) LIMITED,01808901,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/12/2016,DORMANT,03/03/2016,98000 - Residents property management,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
160,PINKNEY GRUNWELLS LAWYERS LIMITED LIABILITY PARTNERSHIP,OC327528,64 WESTBOROUGH,SCARBOROUGH,N YORKS,,,YO11 1TS,Limited Liability Partnership,Active,United Kingdom,30/06/2017,TOTAL EXEMPTION FULL,30/06/2015,,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,http://www.pinkneygrunwells.co.uk/
161,PITHERS PROPERTIES LIMITED,04596435,62/63 WESTBOROUGH,,SCARBOROUGH,,ENGLAND,YO11 1TS,Private Limited Company,Active,United Kingdom,30/11/2016,TOTAL EXEMPTION SMALL,21/11/2015,68201 - Renting and operating of Housing Association real estate,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
162,PROPERTY 4 DEVELOPMENTS LIMITED,09475837,62/63 WESTBOROUGH,,SCARBOROUGH,N YORKS,UNITED KINGDOM,YO11 1TS,Private Limited Company,Active,United Kingdom,31/03/2017,TOTAL EXEMPTION FULL,06/03/2016,43390 - Other building completion and finishing,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
163,R G LOCKWOOD ELECTRICAL LIMITED,09261878,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/12/2016,,13/10/2015,43210 - Electrical installation,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
164,R. TAIT UPHOLSTERY LIMITED,04744223,62-63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,30/04/2017,,25/04/2016,47510 - Retail sale of textiles in specialised stores,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
165,RED WIZARD CONSULTING LIMITED,09013316,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,ENGLAND,YO11 1TS,Private Limited Company,Active,United Kingdom,30/04/2017,TOTAL EXEMPTION FULL,28/04/2016,70229 - Management consultancy activities other than financial management,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
166,RELUS TRADING LIMITED,03615673,62-63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,28/02/2017,,14/08/2015,99999 - Dormant Company,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
167,RESINOUS CASTINGS YORKSHIRE LTD,09235076,62/63 WESTBOROUGH,,SCARBOROUGH,,ENGLAND,YO11 1TS,Private Limited Company,Active,United Kingdom,30/09/2016,TOTAL EXEMPTION SMALL,25/09/2015,"22210 - Manufacture of plastic plates, sheets, tubes and profiles",,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,http://www.resinouscastings.co.uk/
168,ROBINSON LEISURE DEVELOPMENTS PLC,02399076,62/63 WESTBOROUGH,SCARBOURGH,,,,YO11 1TS,Public Limited Company,Active,United Kingdom,30/11/2016,SMALL,27/06/2016,93210 - Activities of amusement parks and theme parks,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
169,ROMECH SPIRAL SYSTEMS LIMITED,03646998,62-63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/05/2017,,09/10/2015,33110 - Repair of fabricated metal products,33190 - Repair of other equipment,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,http://www.romech-spirals.co.uk/
170,RONALD COATES (FARMS) LIMITED,01206763,62-63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/12/2016,,31/10/2015,74990 - Non-trading company,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
171,ROSNET LIMITED,01742973,WINN AND CO,62-63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,05/04/2017,TOTAL EXEMPTION FULL,01/12/2015,68209 - Other letting and operating of own or leased real estate,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
172,S TAYLOR & SON LIMITED,04639626,62/63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/03/2017,TOTAL EXEMPTION FULL,16/01/2016,16220 - Manufacture of assembled parquet floors,"16290 - Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
173,S-CAR-BORO VALETING LIMITED,04890440,62-63 WESTBOROUGH ROAD,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/08/2017,TOTAL EXEMPTION FULL,31/07/2015,81299 - Other cleaning services,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,http://scarborovaleting.co.uk/
174,SABRINA HEALTH CARE LIMITED,06366199,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,28/02/2017,GROUP,10/09/2015,87100 - Residential nursing care facilities,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
175,SANDHURST PARK FLAT MANAGEMENT COMPANY (4) LIMITED,01827874,62/63 WESTBOROUGH,,SCARBOROUGH,,ENGLAND,YO11 1TS,Private Limited Company,Active,United Kingdom,31/05/2016,DORMANT,20/12/2015,98000 - Residents property management,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
176,SARAH'S SALON LIMITED,04593007,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/12/2016,,18/11/2015,96020 - Hairdressing and other beauty treatment,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
177,SCARBOROUGH BED WAREHOUSE LIMITED,09564535,62/63 WESTBOROUGH,,SCARBOROUGH,,UNITED KINGDOM,YO11 1TS,Private Limited Company,Active,United Kingdom,31/03/2017,TOTAL EXEMPTION FULL,28/04/2016,"47599 - Retail of furniture, lighting, and similar (not musical instruments or scores) in specialised store",,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,http://www.bedwarehouse.com/
178,SCARBOROUGH CONSTITUTIONAL CLUB COMPANY LIMITED(THE),00024417,62-63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/12/2016,TOTAL EXEMPTION FULL,06/04/2016,68209 - Other letting and operating of own or leased real estate,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
179,SCARBOROUGH INDOOR BOWLS CENTRE LIMITED,04729490,62/63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,31/08/2017,TOTAL EXEMPTION FULL,10/04/2016,93199 - Other sports activities,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,http://www.scarboroughbowlscentre.co.uk/
180,SCARBOROUGH TANDOORI LIMITED,04959423,62-63 WESTBOROUGH,SCARBOROUGH,YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,30/11/2016,TOTAL EXEMPTION SMALL,11/11/2015,56101 - Licensed restaurants,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,http://www.scarboroughtandoori.co.uk/
181,SEAMER FISHERIES LIMITED,04960304,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/12/2016,,23/08/2015,56103 - Take-away food shops and mobile food stands,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,http://seascopefisheries.co.uk/
182,SECUREGREEN PROPERTY MANAGEMENT LIMITED,02634966,62/63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/12/2016,,05/08/2015,74990 - Non-trading company,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
183,SERENWOOD LIMITED,07201029,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,28/02/2017,TOTAL EXEMPTION FULL,24/03/2016,62020 - Information technology consultancy activities,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
184,SEVEN HILLS POINT (MORLEY) MANAGEMENT COMPANY LIMITED,06964725,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,31/12/2016,TOTAL EXEMPTION FULL,16/07/2015,98000 - Residents property management,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
185,SHARPE ACTUARIAL LIMITED,05998983,62/63 WESTBOROUGH,SCARBOROUGH,,,,YO11 1TS,Private Limited Company,Active,United Kingdom,30/11/2016,TOTAL EXEMPTION SMALL,15/11/2015,66290 - Other activities auxiliary to insurance and pension funding,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
186,SIBC (CATERING) LTD.,05713797,62/63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/08/2017,TOTAL EXEMPTION FULL,17/02/2016,99999 - Dormant Company,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,http://www.scarboroughbowlscentre.co.uk/
187,SIRRAN ENGINEERING SERVICES LIMITED,07688005,62-63 WESTBOROUGH,,SCARBOROUGH,N YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/03/2017,TOTAL EXEMPTION FULL,30/06/2015,71129 - Other engineering activities,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
188,SOUTHWOLD (DRIFFIELD) LIMITED,03419800,62-63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/05/2017,,14/08/2015,68209 - Other letting and operating of own or leased real estate,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
189,SPEAKERS IN COMMAND LIMITED,07403932,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/03/2017,,12/10/2015,73120 - Media representation services,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,http://www.incommand.co.uk/
190,SRC CONSTRUCTION AND PAVING LTD,04611645,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/12/2016,TOTAL EXEMPTION FULL,09/12/2015,43290 - Other construction installation,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
191,ST. ANN'S TOWER MANAGEMENT LIMITED,02733438,62-63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,30/09/2017,TOTAL EXEMPTION FULL,22/07/2015,98000 - Residents property management,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
192,STAR TELEVISION PROGRAMMES LIMITED,01952518,62/63 WESTBOROUGH,SCARBOROUGH,,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/03/2017,,16/09/2015,68209 - Other letting and operating of own or leased real estate,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
193,STATION VIEW MANAGEMENT LTD.,02497165,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,ENGLAND,YO11 1TS,Private Limited Company,Active,United Kingdom,30/04/2017,TOTAL EXEMPTION FULL,29/04/2016,98000 - Residents property management,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
194,STAY CURRENT ELECTRICAL SERVICES LIMITED,09231597,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,ENGLAND,YO11 1TS,Private Limited Company,Active,United Kingdom,30/09/2016,TOTAL EXEMPTION SMALL,23/09/2015,43210 - Electrical installation,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,http://www.scesl.co.uk/
195,STEVE GOSLING LIMITED,04487973,62-63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/07/2016,TOTAL EXEMPTION SMALL,17/07/2015,43341 - Painting,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
196,STONELEIGH COURT (LEEDS) RTM COMPANY LIMITED,06939857,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,31/12/2016,TOTAL EXEMPTION FULL,20/06/2016,98000 - Residents property management,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
197,SUB AQUA DIVING SERVICES (UK) LTD,06138439,62-63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,30/04/2017,TOTAL EXEMPTION FULL,05/03/2016,"74909 - Other professional, scientific and technical activities n.e.c.",,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
198,SULTANS TAKEAWAY LIMITED,07983973,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/03/2017,,09/03/2016,56103 - Take-away food shops and mobile food stands,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
199,SUPERVINE LIMITED,02077723,62/63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Liquidation,United Kingdom,31/03/1988,SMALL,14/07/1989,,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
200,SYNTHESYS DIRECT LIMITED,09604572,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,UNITED KINGDOM,YO11 1TS,Private Limited Company,Active,United Kingdom,31/03/2017,,22/05/2016,72190 - Other research and experimental development on natural sciences and engineering,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
